recency,frequency,monetary,variety
249,6,88.98,6
2174,51,850.01,40
1289,11,134.65,11
203,30,491.24,30
2069,2,61.18,2
1089,31,613.61,27
2432,8,46.05,7
1093,71,1316.42,62
1534,21,373.07,18
912,4,23.68,3
720,47,1236.31,36
2445,4,33.95,4
185,38,618.70,33
530,3,12.93,2
831,9,92.77,9
279,5,50.56,3
997,3,30.10,3
222,30,292.43,22
449,5,87.34,2
434,59,310.53,44
465,14,113.73,13
547,69,811.38,56
2291,3,57.74,3
1241,3,141.49,3
755,7,80.17,7
2177,2,42.74,2
169,229,4551.13,100
1888,11,67.98,11
1998,5,163.48,5
1164,6,114.52,6
2323,8,106.72,6
1272,3,31.51,3
395,50,613.29,41
1617,1,14.27,1
1195,20,105.54,20
1083,62,531.07,43
929,4,144.04,4
2722,3,33.44,2
1503,28,426.98,23
489,141,3090.29,95
482,1,28.47,1
207,1,6.65,1
636,1,27.76,1
1237,4,117.71,4
1542,48,466.57,44
1982,1,54.00,1
2628,1,23.30,1
1586,4,59.35,4
274,61,743.14,56
728,16,206.57,12
1653,7,102.68,7
2295,2,15.55,2
644,4,31.46,4
930,7,104.54,5
1069,1,8.10,1
1540,2,22.63,2
903,28,380.17,24
1606,4,26.44,4
2489,1,69.67,1
176,52,475.25,47
511,24,338.89,19
843,15,191.42,14
2647,1,14.92,1
1297,45,157.88,22
453,38,492.54,29
2900,2,46.07,2
199,21,735.79,18
413,52,867.86,43
2514,3,171.32,3
570,35,461.46,18
2718,3,214.95,3
502,15,104.85,13
951,4,73.43,4
2379,1,72.83,1
2202,21,676.99,19
877,6,79.98,5
1243,22,355.92,21
1361,2,36.38,2
1601,17,155.55,15
259,5,52.28,5
876,26,333.48,22
430,14,76.02,12
630,4,18.32,4
2120,1,41.63,1
1233,3,37.02,3
2200,12,87.43,12
1408,59,488.62,43
995,8,113.45,8
170,32,236.34,28
2407,2,66.65,2
1838,26,263.33,19
242,6,45.91,5
333,7,115.31,7
506,3,16.77,3
809,15,97.55,15
2102,6,85.76,6
174,7,67.24,5
2931,1,53.12,1
491,5,54.21,4
1213,12,174.81,7
876,7,66.49,6
807,1,16.66,1
507,14,302.43,13
2352,4,118.29,4
466,160,1666.65,116
727,1,17.11,1
945,1,20.76,1
1990,6,168.50,5
350,17,321.86,16
1162,7,55.68,7
2333,4,104.81,4
261,106,515.46,74
2171,5,131.93,3
1451,13,60.83,12
554,8,74.40,7
686,19,168.49,18
2939,1,34.35,1
1504,12,152.37,9
716,16,192.61,12
1040,12,154.02,11
1604,20,277.92,14
826,6,43.94,6
1768,1,65.25,1
627,37,357.39,29
1904,6,114.19,6
175,27,424.46,24
2183,1,44.76,1
1957,2,83.39,2
2651,3,32.35,3
442,15,227.86,14
1977,2,70.38,2
2580,2,67.13,2
186,13,130.48,9
1020,11,45.10,10
2219,1,24.96,1
469,41,972.98,39
1144,55,703.01,43
2370,1,54.16,1
973,2,62.35,2
2388,1,45.75,1
2320,4,179.89,3
1578,22,476.71,13
2410,1,54.68,1
566,13,47.82,12
610,7,161.36,6
869,3,44.83,3
1694,2,4.52,2
2410,12,243.52,9
1599,17,154.58,7
2545,2,44.78,2
1878,7,98.96,7
528,28,595.51,23
2451,1,20.83,1
2008,3,194.08,3
1241,73,1214.60,59
1742,2,19.72,2
857,3,43.11,3
467,79,868.36,68
2546,2,44.34,2
367,39,238.77,31
269,9,578.73,9
1786,4,68.94,4
2483,4,37.45,1
945,8,105.48,7
1194,56,2136.54,47
505,2,45.59,2
1195,18,387.96,14
1278,4,25.97,4
2258,1,18.68,1
2243,1,103.29,1
1251,1,62.50,1
1243,2,20.16,2
1823,2,47.02,1
2488,25,171.65,20
2716,1,13.87,1
2028,2,31.55,2
552,92,1157.34,75
791,8,119.62,8
2531,4,188.58,4
1915,11,114.69,8
594,4,73.68,3
2233,2,42.36,1
1066,3,35.06,3
1875,6,76.05,5
2738,2,64.51,2
169,16,306.19,14
2845,2,46.65,2
2850,4,80.28,4
1357,2,27.24,2
2210,2,125.71,2
2581,10,191.37,10
872,13,181.59,9
1903,3,36.68,3
2708,1,89.25,1
1452,6,101.06,6
2284,11,246.68,10
225,78,465.29,65
1560,13,240.72,12
446,13,204.02,12
2927,2,61.05,2
2340,10,294.30,8
1188,46,517.20,43
229,6,98.63,5
170,11,244.79,10
1296,2,22.10,2
715,2,111.53,1
1606,5,49.69,4
1086,14,173.43,10
507,7,86.29,5
1963,2,41.69,2
1389,12,127.25,10
504,22,473.71,15
438,61,569.41,51
394,3,30.33,3
1201,8,189.35,8
629,12,219.57,11
267,61,644.83,57
1369,5,12.75,4
282,9,132.78,9
521,11,125.58,11
826,1,8.74,1
168,1,22.75,1
2541,5,51.50,4
2033,11,197.42,11
709,5,24.73,3
1664,17,178.21,13
1784,4,38.63,4
573,11,159.82,10
2837,3,43.91,3
506,102,2439.48,78
2794,3,164.70,3
2263,22,172.78,19
2907,3,70.00,3
606,34,282.67,30
1478,1,30.33,1
554,5,54.10,5
1167,1,15.62,1
863,52,444.21,46
421,22,228.04,19
1674,2,42.55,2
526,9,124.56,8
1874,1,60.86,1
2254,20,145.27,9
233,13,212.56,11
813,1,23.18,1
1979,2,44.90,2
374,3,20.69,3
2538,1,11.63,1
816,9,102.53,9
169,48,647.50,42
2760,2,26.13,2
912,20,191.94,15
490,3,65.28,3
1866,4,27.55,4
2707,4,89.97,4
1388,6,47.81,6
2742,4,47.85,4
2043,3,50.81,3
2166,2,44.92,1
2130,3,103.33,3
990,1,14.25,1
1092,1,17.22,1
2495,26,378.04,26
1387,3,18.35,2
807,10,223.09,8
552,14,66.05,7
518,1,7.89,1
176,18,660.90,15
274,40,725.07,33
745,1,7.79,1
608,12,116.06,12
869,6,87.41,4
1329,1,10.62,1
2375,5,42.92,5
2021,2,33.24,1
1605,6,95.11,6
2679,1,49.92,1
329,44,278.50,37
2347,4,45.22,4
936,10,140.26,10
348,10,163.28,9
1741,13,496.10,11
708,13,90.83,11
2062,7,100.45,7
2521,2,127.71,2
2602,1,37.46,1
421,18,246.55,17
2254,3,85.34,3
1428,16,80.38,12
256,5,30.05,4
1968,10,214.77,8
247,58,537.28,31
1590,67,765.80,59
1523,2,16.09,2
1480,3,74.79,3
2657,4,114.65,3
2362,2,55.71,2
1224,5,16.99,5
327,13,263.48,13
2326,11,157.51,10
1704,6,49.83,6
448,3,80.48,3
1753,6,130.80,6
446,2,75.61,2
355,2,32.93,2
1166,14,166.62,14
1046,1,6.94,1
960,42,548.50,38
1087,16,123.82,13
1671,4,102.52,4
538,71,1194.46,60
419,6,25.65,6
2065,9,165.78,8
439,93,1119.33,78
298,6,60.93,6
220,11,72.28,11
2443,7,131.26,6
233,89,719.66,71
1254,1,27.95,1
356,3,27.17,3
2299,1,48.71,1
1030,4,52.12,4
2670,13,147.13,10
1532,1,24.03,1
2226,10,271.25,8
2288,8,93.82,7
1290,9,121.71,8
288,29,372.31,25
2518,7,258.67,7
1605,3,83.81,3
2724,7,422.55,5
869,40,228.24,33
1419,7,25.86,6
2848,5,83.53,4
2042,12,129.45,11
1309,2,61.77,2
1244,1,25.86,1
1544,1,13.53,1
2320,5,99.21,5
1041,38,191.43,30
523,7,307.28,5
980,6,23.17,4
1971,36,738.83,27
176,5,25.71,3
189,29,197.51,27
1665,14,20.03,6
571,5,64.86,4
182,66,877.09,58
709,74,505.95,52
1909,2,44.18,2
1635,6,60.27,5
545,5,2.40,5
893,57,381.09,42
222,222,3347.04,102
2123,15,247.79,14
2178,4,90.29,3
598,4,26.27,4
1342,4,3.22,3
1562,131,1927.34,101
1018,11,79.21,11
1453,1,12.09,1
186,149,1883.57,110
1200,3,13.74,3
288,15,405.23,6
872,20,526.17,16
1394,13,458.17,12
