recency,frequency,monetary,variety
2315,0.013513513,90.94,2
916,0.033783783,80.44,4
2595,0.020270270,101.22,3
282,0.277027027,525.99,37
1735,0.135135135,109.36,8
2321,0.013513513,66.65,2
1193,0.304054054,446.21,41
635,0.040540540,28.86,4
1704,0.074324324,249.88,9
1067,0.033783783,107.19,5
1733,0.047297297,31.54,5
1223,0.020270270,118.08,3
2564,0.060810810,106.00,9
1403,0.033783783,24.13,1
1933,0.033783783,43.59,5
1754,0.128378378,381.64,16
372,0.689189189,624.40,81
2190,0.060810810,89.67,9
360,0.135135135,282.65,20
990,0.006756756,9.50,1
451,0.006756756,24.13,1
2667,0.074324324,140.20,5
250,0.074324324,119.60,11
1159,0.250000000,731.40,35
983,0.006756756,6.16,1
687,0.060810810,74.53,9
816,0.020270270,30.99,2
684,1.297297297,6318.06,127
2022,0.439189189,864.79,53
172,0.054054054,79.64,8
1317,0.168918918,236.80,18
1048,0.081081081,81.15,12
2361,0.033783783,54.30,5
273,0.060810810,270.39,8
923,0.162162162,611.30,16
1989,0.027027027,159.04,4
2863,0.013513513,23.77,2
545,0.074324324,263.38,9
1095,0.006756756,18.81,1
1731,0.033783783,19.03,4
2850,0.040540540,72.40,6
1598,0.013513513,100.16,2
1213,0.013513513,15.21,2
1883,0.033783783,95.56,5
1698,0.087837837,116.26,13
1919,0.054054054,35.39,8
1629,0.013513513,28.26,2
421,0.020270270,48.28,3
1301,0.074324324,125.60,10
1355,0.013513513,26.37,1
1918,0.094594594,143.11,13
1632,0.027027027,8.92,4
193,1.081081081,1165.72,113
2527,0.067567567,127.78,7
2587,0.033783783,164.84,5
317,0.405405405,631.29,50
305,0.554054054,710.54,69
2384,0.013513513,158.31,2
2563,0.013513513,67.13,2
1533,0.141891891,348.49,19
2156,0.020270270,90.02,3
1961,0.040540540,100.54,6
623,0.054054054,64.65,6
2619,0.006756756,57.50,1
1949,0.054054054,61.75,6
873,0.033783783,87.66,5
1555,0.013513513,4.68,1
424,0.020270270,44.66,3
630,0.517006802,718.57,59
219,0.034013605,28.82,5
1477,0.034013605,56.50,5
2725,0.061224489,143.16,8
1760,0.006802721,6.66,1
1066,0.102040816,289.01,14
1908,0.013605442,19.63,2
2543,0.068027210,166.40,10
237,0.306122448,891.72,36
637,0.401360544,466.57,52
872,0.013605442,38.78,2
886,0.129251700,264.39,16
1451,0.149659863,140.15,21
1772,0.006802721,15.46,1
1502,0.006802721,69.29,1
1106,0.013605442,28.75,2
191,0.197278911,237.34,24
1149,0.027210884,68.32,4
2452,0.027210884,27.03,3
287,0.190476190,254.77,26
2316,0.197278911,285.72,28
808,0.013605442,11.90,2
2265,0.013605442,44.76,2
1634,0.183673469,261.70,18
219,0.020408163,27.59,3
913,0.306122448,544.41,29
505,0.020408163,21.91,3
1223,0.217687074,645.13,30
249,0.040816326,88.98,6
2174,0.346938775,850.01,40
1289,0.074829931,134.65,11
203,0.204081632,491.24,30
2069,0.013605442,61.18,2
1089,0.210884353,613.61,27
2432,0.054421768,46.05,7
1093,0.482993197,1316.42,62
