recency,frequency,monetary,variety,kmeans_cluster
2939,1,34.35,1,1
1504,12,152.37,9,1
716,16,192.61,12,0
1040,12,154.02,11,0
1604,20,277.92,14,1
826,6,43.94,6,0
1768,1,65.25,1,1
627,37,357.39,29,3
1904,6,114.19,6,1
175,27,424.46,24,3
2183,1,44.76,1,1
1957,2,83.39,2,1
2651,3,32.35,3,1
442,15,227.86,14,0
1977,2,70.38,2,1
2580,2,67.13,2,1
186,13,130.48,9,0
1020,11,45.1,10,0
2219,1,24.96,1,1
469,41,972.98,39,3
1144,55,703.01,43,3
2370,1,54.16,1,1
973,2,62.35,2,0
2388,1,45.75,1,1
2320,4,179.89,3,1
1578,22,476.71,13,1
2410,1,54.68,1,1
566,13,47.82,12,0
610,7,161.36,6,0
869,3,44.83,3,0
1694,2,4.52,2,1
2410,12,243.52,9,1
1599,17,154.58,7,1
2545,2,44.78,2,1
1878,7,98.96,7,1
528,28,595.51,23,3
2451,1,20.83,1,1
2008,3,194.08,3,1
1241,73,1214.6,59,3
